Id,Question,Answers
1, 'What is the exam schedule/timetable?', 'Alternatively  exam schedule is always shared in your WhatsApp batch group by the Head Of Department or can be found on the college website.'
2,What are diploma courses offered?',"Advanced Diploma in Analytical Techniques & Instrumental Analysis
Advanced Diploma in Data Analytics
Office Automation & E?Governance under Community College
Banking & Finance under Community College
Post Graduation Diploma in Retail Management
Post Graduation Diploma in Remote Sensing & GIS"
3,'How to see/check result on website?'," 'Navigate to the college website >> Tap the three lines on the side of the blue bar. Under the Students Corner, choose Results option >> enter your Student ID to view the result'"
4,how to apply for backpaper?',
5,'How do I get the marksheet?', 'Students can retrieve their marksheet from counter no. 6 in the administrative department. NOTE: It may require showing your old library card or ID card.'
6,how to fill the examination form?',"For first years, examination form needs to be filled and submitted in college. For senior students, examination form can be filled and submitted online on the college website. The instructions for the same are"
7, 'what is the marks distribution of the exams?',"Theory Subjects
Semester End Examination: 70 marks
Internal Assessment: 30 marks
    Breakdown within Internal Assessment:
        Written Test: 20 marks
        Attendance: 5 marks
        Behavioural Conduct: 5 marks
Practical Subjects
Semester End Practical Examination: 70 marks
Internal Assessment: 30 marks
    Breakdown within Internal Assessment:
        Internal Practical: 20 marks
       Viva-Voce: 5 marks
        Practical File: 5 marks
Grading
Uses CBCS grading with letter grades & grade points (10-point scale)."
8,how can I apply for reevaluation of marks?',
9,When are internal assessments conducted?', 'Internal exams are conducted twice in a semester before final external exams. It is usually of 20 marks for 2 units. 
10,'whom to contact for exam related issues?', 'Any problem you have got related to exams can easily be solved by asking the subject teacher or the Head of Department.'
11, 'How to apply for leave?',
12,what is the minimum attendace required?',
13,'what are the exam rules?', 'All the rules to be followed in an exam hall is mentioned in the examination form or in your admit card.  Students are strictly advised to read it thoroughly and follow it.'
14,does medical leave counts in attendance?',Students are asked to submit an application and a medical certificate if their attendance is less than mandatory i.e. 75%.'
15, 'What happens in case of attendance shortage?',"Students are asked to submit an application and a medical certificate if their attendance is less than mandatory i.e. 75%. In case of no medical certificates, an additional fee is charged or admit card's issue process may be hindered or delayed.'"
16,how can i get my id card?',ID card can be issued at the counter number 4. 
17, 'how can I check my attendance?', 'Students's attendance record is maintained in a register. Anyone can ask the teacher for their attendance percentage in that specific subject. Attendance percentage is calculated at the end of each month.'
18, 'what documents are required for admission',"Applicants must attach self?attested copies of the following documents with their application: 
1. Pass Certificate and Marksheet of Class X (10th)
2. Pass Certificate and Marksheet of Class XII (12th)
3. Marksheet of the last examination passed
4. If qualifying exam was passed earlier (specific year criteria), proof that the candidate did not take admission elsewhere and a notarized declaration about no legal issues (for certain qualification years)
5. Character Certificate from the Head of the last institution attended (original to be submitted at time of counseling)
6. If a private candidate, a Character Certificate from Superintendent of Police / District Magistrate / Gazetted Officer (certified after a specified date)
7. If applying under reserved category, an attested copy of Caste Certificate / CMO Certificate (original for counseling)"
19,How can i change my course?',
20,Is there any specialization course I can apply for?',That depends on your department. Contact your Head of Department for information.'
21, 'How can I get my personal details updated in college database',
22,'what are the minor subjects for 3rd sem students?',
23,'what are the minor subjects for 2nd sem students?',
